time, bids, asks, maxclose, minclose, uppertarget, lowertarget
1081296000, 1.2172, 1.2176, 1.2172, 1.1937, -0.03286230693394315, -1.963522839303322
1081382400, 1.2082, 1.2086, 1.2092, 1.1937, 0.04966065220991194, -1.233239529879152
1081468800, 1.2092, 1.2096, 1.2092, 1.1937, -0.03307972213033046, -1.314918954680783
1081728000, 1.208, 1.2084, 1.208, 1.1937, -0.03311258278145331, -1.216887417218538
1081814400, 1.1937, 1.1941, 1.2006, 1.1848, 0.5445254251487117, -0.7790902236742786
1081900800, 1.1954, 1.1958, 1.2006, 1.1834, 0.4015392337293072, -1.037309687134011
1081987200, 1.1978, 1.1982, 1.2006, 1.1834, 0.2003673401235749, -1.235598597428613
1082073600, 1.1992, 1.1996, 1.2006, 1.1834, 0.08338892595064308, -1.350900600400266
1082332800, 1.2006, 1.201, 1.2006, 1.1834, -0.03331667499583174, -1.465933699816763
1082419200, 1.1848, 1.1852, 1.1926, 1.1834, 0.6245779878460561, -0.1519243754220142
1082505600, 1.1834, 1.1838, 1.1926, 1.1834, 0.7436200777421109, -0.03380091262463714
1082592000, 1.1909, 1.1913, 1.1963, 1.1845, 0.4198505332101682, -0.5709967251658527
1082678400, 1.1845, 1.1849, 1.198, 1.1845, 1.105951878429727, -0.03376952300548383
1082937600, 1.186, 1.1864, 1.198, 1.1848, 0.9780775716694818, -0.1349072512647406
1083024000, 1.1926, 1.193, 1.2107, 1.1848, 1.484152272346138, -0.6875733691095073
1083110400, 1.1848, 1.1852, 1.2157, 1.1848, 2.574274139095203, -0.03376097231599898
1083196800, 1.1963, 1.1967, 1.2157, 1.194, 1.588230376995748, -0.2256958956783353
1083283200, 1.198, 1.1984, 1.2157, 1.1881, 1.444073455759607, -0.8597662771285456
1083542400, 1.194, 1.1944, 1.2157, 1.1828, 1.783919597989958, -0.9715242881071886
1083628800, 1.2107, 1.2111, 1.2157, 1.1828, 0.3799454860824265, -2.337490707854959
1083715200, 1.2157, 1.2161, 1.2157, 1.1828, -0.03290285432260886, -2.73916262235748
1083801600, 1.207, 1.2074, 1.207, 1.1806, -0.03314001657000464, -2.220381110190549
1083888000, 1.1881, 1.1885, 1.1906, 1.1806, 0.1767527985859768, -0.6649271946805653
1084147200, 1.1828, 1.1832, 1.202, 1.1806, 1.589448765640846, -0.2198173824822401
1084233600, 1.1866, 1.187, 1.202, 1.1806, 1.264115961570886, -0.5393561436035513
1084320000, 1.1906, 1.191, 1.202, 1.1806, 0.923903913992955, -0.8735091550478534
1084406400, 1.1806, 1.181, 1.202, 1.1806, 1.778756564458742, -0.03388107741825817
1084492800, 1.1887, 1.1891, 1.202, 1.1887, 1.085219146967268, -0.0336502061075087
1084752000, 1.202, 1.2024, 1.202, 1.1953, -0.03327787021630249, -0.5906821963394247
1084838400, 1.1953, 1.1957, 1.2102, 1.1953, 1.213084581276663, -0.03346440224211127
1084924800, 1.2017, 1.2021, 1.2114, 1.1962, 0.7739036365149443, -0.4909711242406604
1085011200, 1.1962, 1.1966, 1.2273, 1.1962, 2.566460458117386, -0.03343922420999464
1085097600, 1.1978, 1.1982, 1.2273, 1.1978, 2.429453998998174, -0.0333945566872563
1085356800, 1.2003, 1.2007, 1.2273, 1.2003, 2.216112638507055, -0.03332500208280896
1085443200, 1.2102, 1.2106, 1.2273, 1.2102, 1.379937200462747, -0.0330523880350319
1085529600, 1.2114, 1.2118, 1.2273, 1.2114, 1.279511309228997, -0.03301964668977678
